date,active_energy,basal_energy,body_fat,body_mass,diet_calories,diet_carbs,diet_fat,diet_fiber,diet_protein,diet_water,distance,exercise_time,stand_time
20210115,748.3369999999985,3771.0329999999453,0.17299999296665192,177.58235218991888,945.8097314459999,25.265486572300002,57.169904620000004,7.04,85.89407823845998,4166.0996404896,5.921131188127932,50.0,150.0
20210116,1111.626000000005,3835.438999999931,0.16899999976158142,175.598191830255,1312.0,25.5,82.5,10.0,113.99999999999997,4395.6,14.570798560287452,92.0,254.0
20210117,1962.3290000000172,3729.1960000005324,0.16699999570846558,174.4958805193306,1215.0,46.5,71.5,22.0,107.99999999999997,5394.600000000001,28.375579440516365,192.0,268.0
20210118,957.9710000000018,3814.814000000049,0.1679999977350235,175.0470361747928,1120.409731446,42.268886572300005,62.16830462,25.983999999999998,98.88967823845998,4192.0616524896,12.732199543099522,52.0,260.0
20210119,827.793000000003,3703.604000000153,0.16699999570846558,174.60611165042303,1124.9860026324407,32.94685267399492,66.09203343355932,17.983999999999998,100.99137315371422,5191.0616524896,2.8075671793284234,58.0,124.0
20210120,1155.4510000000053,3762.413000000172,0.16599999368190765,174.38564938823816,1323.256733387,27.372973144600003,64.46482581240001,14.319999999999999,149.57369848186997,5242.2683049792,8.896631129536575,77.0,216.0
20210121,901.674000000001,3692.2710000001393,0.164000004529953,173.3935692084062,990.4097314459999,40.6024865723,52.001904620000005,17.32,91.55607823845997,6299.951652489602,3.633739975265222,60.0,163.0
20210122,1272.4640000000027,3763.622000000162,0.164000004529953,173.28333807731377,1250.409731446,52.6024865723,55.501904620000005,23.32,98.55607823845997,7054.1966524896025,11.553401592859181,76.0,298.0
20210123,1122.5030000000013,1999.7810000000034,,,1445.0,44.832,85.832,25.32,126.66799999999998,4695.3,15.37741972332225,78.0,317.0
20210124,788.2300000000002,3713.595000000036,0.164000004529953,173.28333807731377,975.0,19.5,67.9995,10.0,72.0,4779.227988000001,14.188837707819449,83.0,187.0
20210125,1427.3450000000014,3739.166999999858,0.16300000250339508,172.5117201596667,1180.409731446,37.6024865723,69.50190462,16.32,101.55607823845997,6299.951652489602,15.204438687348677,155.0,293.0
20210126,1140.043000000001,3682.378999999887,0.1599999964237213,170.96848432437255,1050.409731446,25.602486572300002,66.50140462,14.319999999999999,89.55607823845997,5191.0616524896,8.481996156990684,102.0,211.0
20210127,1188.0640000000033,1938.9090000000513,,,855.3999999999999,29.327,42.332,17.36,91.67399999999998,4050.9449999999997,9.243556656667623,100.0,241.0
20210128,1255.5749999999987,3676.2200000003536,0.15800000727176666,170.08663527563306,825.3999999999999,30.327,27.332,17.36,76.67399999999998,4495.5,9.861187433924115,118.0,249.0
20210129,1536.3720000000003,3756.197000000184,0.15399999916553497,168.10247491596914,1735.0,41.832,97.8315,23.32,128.66799999999998,3770.237988,17.354351215216905,301.0,379.0
20210130,1273.5090000000005,3631.117000000261,0.15600000321865082,169.0945550958011,1422.7428,87.518,73.6448,38.058,111.93519999999998,5129.725600000001,18.172160716302873,132.0,254.0
20210131,1389.2940000000021,3737.735000000385,0.15700000524520874,169.9764041445406,1495.0,26.5,81.4995,9.0,74.0,3596.4,26.919827796766395,167.0,358.0
20210201,937.8789999999984,1853.2930000000874,,169.31501735798597,1171.6761900588235,59.66723801176472,64.8315,22.987619005882355,94.33561900588234,4450.545,6.095791625295758,86.0,168.0
20210202,1265.9989999999905,3619.7579999998597,0.15199999511241913,167.22062586722964,1441.6761900588235,69.16723801176471,77.8315,28.987619005882355,121.33561900588234,4495.5,9.884394572786574,124.0,230.0
20210203,1294.0249999999987,3659.1369999999347,0.1509999930858612,166.8899324739523,1515.0,79.33200000000001,91.8315,34.31999999999999,105.66799999999998,6713.2800000000025,11.989938814035089,118.0,271.0
20210204,1182.4499999999998,3642.1249999999277,0.15000000596046448,166.33877681849012,1401.6761900588235,79.16723801176471,80.3315,34.48761900588235,102.83561900588234,6403.590000000002,8.849848188395883,96.0,244.0
